校名,系組名,採計及加權,普通生錄取分數,普通生同分參酌,原住民錄取分數,退伍軍人錄取分數,僑生錄取分數,蒙藏生錄取分數,派外子女錄取分數,檢定科目及標準-學科能力測驗,檢定科目及標準-英聽,同分參酌順序,核定名額,回流名額,招生名額,錄取人數-男,錄取人數-女,外加錄取-男,外加錄取-女,錄取總人數（含外加）
國立臺灣大學,中國文學系,國x1.50 英x1.25 歷x1.25 地x1.00 數Bx1.00,302.5,,-----,-----,-----,-----,-----,,,國文 英文 歷史 地理 數學B,21,2,23,11,12,0,0,23
國立臺灣大學,外國語文學系,英x2.00 國x1.25 歷x1.00 地x1.00,281.75,英 57,335.3,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),A級,英文 國文 歷史 地理,45,2,47,16,31,1,0,48
國立臺灣大學,歷史學系,歷x1.00 國x1.00 英x1.00 地x1.00 公x1.00,260,歷 55 國 56,265.95,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,歷史 國文 英文 地理 公民與社會,22,6,28,13,15,1,0,29
國立臺灣大學,哲學系,國x1.00 英x1.00 歷x1.00 公x1.00,204,國 55,-----,-----,-----,-----,-----,1.英文(前標) 2.數學A(前標) 或數學B(前標),,國文 英文 歷史 公民與社會,14,4,18,8,10,0,0,18
國立臺灣大學,人類學系,英x1.50 歷x1.00 國x1.00 地x1.00 公x1.00,283,英 56,287.55,-----,-----,-----,-----,,,英文 歷史 國文 地理 公民與社會,16,6,22,2,20,1,0,23
國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 歷x1.00 公x1.00,237,,237.2,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,國文 英文 歷史 公民與社會,16,8,24,13,11,1,1,26
國立臺灣大學,日本語文學系,英x1.50 國x1.50 歷x1.00 地x1.00 公x1.00,313,,-----,-----,-----,-----,-----,1.數學A(均標) 或數學B(均標),,英文 國文 歷史 地理 公民與社會,20,2,22,5,17,0,0,22
國立臺灣大學,戲劇學系(男),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,293,,-----,-----,-----,-----,-----,,,英文 國文 數學B 歷史 地理,7,0,7,7,0,0,0,7
國立臺灣大學,戲劇學系(女),英x1.50 國x1.50 數Bx1.00 歷x1.00 地x1.00,302,,-----,-----,-----,-----,-----,,,英文 國文 數學B 歷史 地理,6,1,7,0,7,0,0,7
國立臺灣大學,數學系,數Ax1.50 數甲x1.50 物x1.00 化x1.00 英x1.00,291.5,,-----,-----,-----,-----,-----,1.數學A(頂標) 2.自然(頂標),,數學A 數學甲 物理 化學 英文,14,2,16,15,1,0,0,16
國立臺灣大學,物理學系,物x1.50 數甲x1.50 英x1.00 化x1.00,251,物 60 數甲 42 英 52,-----,-----,-----,-----,-----,1.數學A(均標) 2.自然(均標),,物理 數學甲 英文 化學,19,10,29,27,2,0,0,29
國立臺灣大學,化學系,化x1.00 英x1.00 數甲x1.00 物x1.00 國x1.00,245,,-----,-----,-----,-----,-----,1.國文(均標) 2.英文(均標),,化學 英文 數學甲 物理 國文,23,1,24,13,11,0,0,24
