級分,數學甲,化學,物理,生物,歷史,地理,公民與社會
60,0.71,0.71,0.62,0.9,0.76,0.64,0.76
59,0.82,0.82,0.94,1.78,1.32,1.25,1.14
58,1.3,1.3,1.39,2.75,2.2,1.67,1.87
57,1.53,1.53,1.91,4.15,3.22,2.9,2.71
56,2.19,2.19,2.53,6.03,4.57,3.68,3.99
55,2.56,2.56,3.28,7.95,6.17,5.38,5.55
54,3.36,3.36,4.25,10.33,8.11,6.52,7.33
53,3.86,3.86,5.28,12.64,10.33,9.13,9.53
52,4.6,4.6,6.48,15.3,12.74,10.66,12.09
51,5.19,5.19,7.74,17.45,15.22,14.15,14.41
50,6.46,6.46,9.12,20.03,18.29,16.17,17.07
49,7.52,7.52,10.58,22.65,21.28,18.26,20
48,8.8,8.8,12.25,25.09,24.56,22.8,22.77
47,10.02,10.02,14.05,27.48,27.97,25.27,26.31
46,11.5,11.5,15.72,29.95,31.35,30.28,28.9
45,12.81,12.81,17.46,31.98,34.77,33,32.5
44,14.44,14.44,19.2,34.28,38.24,38.39,35.66
43,16.13,16.13,21,36.69,41.67,41.21,38.74
42,18,18,22.93,39.08,45.39,46.83,42.06
41,19.98,19.98,25.4,41.56,48.95,49.65,45.49
40,22.09,22.09,27.35,44.12,52.54,55.19,48.64
39,23.66,23.66,29.11,46.32,56.34,57.94,51.94
38,25.9,25.9,31.09,48.89,60.05,60.76,55.44
37,28.01,28.01,32.84,51.59,63.54,65.93,58.47
36,30.1,30.1,34.75,54.11,66.91,68.19,61.88
35,32.36,32.36,36.54,57.1,70.35,72.42,65.12
34,34.66,34.66,38.55,59.99,73.47,74.43,67.91
33,36.88,36.88,40.41,63.13,76.64,78.35,71.12
32,39.33,39.33,42.51,65.69,79.54,80.03,74.6
31,41.98,41.98,44.33,68.76,82.32,82.96,76.96
30,44.46,44.46,46.6,71.44,84.51,84.27,79.56
29,47.06,47.06,48.47,74.06,87.07,86.95,81.74
28,49.51,49.51,50.72,76.79,89.07,88.16,84.16
27,52.2,52.2,52.9,79.27,90.8,90.45,86.41
26,54.09,54.09,55.36,81.37,92.24,91.3,87.95
25,56.73,56.73,57.46,84.06,93.61,92.17,90.03
24,59.58,59.58,60.34,86.34,94.69,93.68,91.81
23,62.26,62.26,62.38,88.19,95.67,94.3,93.18
22,65.11,65.11,65.34,90.03,96.42,95.64,94.26
21,67.95,67.95,67.74,91.86,97.16,96.3,95.44
20,70.63,70.63,71.09,93.24,97.73,97.21,96.31
19,73.42,73.42,73.41,94.57,98.32,97.48,97.17
18,76.3,76.3,76.9,95.64,98.65,98.13,97.85
17,78.87,78.87,79.32,96.59,98.99,98.4,98.31
16,81.29,81.29,82.79,97.27,99.23,98.83,98.77
15,83.81,83.81,85.2,98.03,99.42,98.95,99.02
14,86.14,86.14,88.28,98.65,99.64,99.31,99.35
13,87.67,87.67,90.27,99.03,99.77,99.53,99.58
12,89.63,89.63,93.04,99.43,99.86,99.61,99.74
11,91.5,91.5,94.38,99.64,99.91,99.77,99.83
10,93.31,93.31,96.51,99.77,99.96,99.86,99.88
9,94.8,94.8,97.47,99.88,99.98,99.94,99.92
8,96.05,96.05,98.69,99.94,100,99.94,99.94
7,97.06,97.06,99.17,99.97,100,99.97,99.98
6,97.92,97.92,99.62,100,100,99.97,99.99
5,98.72,98.72,99.74,100,100,99.98,99.99
4,99.29,99.29,99.91,100,100,99.98,99.99
3,99.67,99.67,99.95,100,100,99.98,99.99
2,99.94,99.94,99.97,100,100,99.98,99.99
1,99.94,99.94,99.98,100,100,99.98,99.99
0,100,100,100,100,100,100,100
